,Event_ID,sensorName,days,Time,CHX,CHY,calib_factor,diameter,digits,kin_energy,status,maxpoh_rad10,poh_sensorpix,maxmeshs_rad10,meshs_sensorpix,maxczc_rad10,czc_sensorpix,time_received,months,years,rad_timestamp,Lat,Lon,daily_count_by_sensor,kin_energy_H,Time2,dt,Event_start,Event_end,Event_duration,Event_hits,Event_hit_frequency,Event_KEdensity_tot,Event_KEFlux_tot,Event_KE_max,Event_D_max,Event_D_max_vicinity,Event_count,meanPOHrad10_ev,meanPOHpix_ev,meanCZCrad10_ev,meanCZCpix_ev,meanMESHSrad10_ev,meanMESHSpix_ev
204,10,AbfallCAGIALLO,2022-06-28,2022-06-28 06:45:18.468000,102808.1,718810.3,3.345,7.669,200.0,0.015,0,88.0,74.0,0.0,0.0,61.0,61.0,1656398757433.0,2022-06,2022,2022-06-28 06:50:00,46.06633741014225,8.974150972601462,6,0.009471718726076429,2022-06-28 06:45:18.468000+00:00,24364592.814000003,2022-06-28 06:45:18.468000+00:00,2022-06-28 06:45:45.489000+00:00,27.021,4,0.14803301136153363,0.24955495076809187,0.009235592715594976,0.018,7.996,5.955375253549698,54,88.0,74.0,61.0,61.0,0.0,0.0
205,10,AbfallCAGIALLO,2022-06-28,2022-06-28 06:45:30.779000,102808.1,718810.3,3.345,6.937,159.0,0.01,0,88.0,74.0,0.0,0.0,61.0,61.0,1656398757487.0,2022-06,2022,2022-06-28 06:50:00,46.06633741014225,8.974150972601462,6,0.006633852165106737,2022-06-28 06:45:30.779000+00:00,12.311,2022-06-28 06:45:18.468000+00:00,2022-06-28 06:45:45.489000+00:00,27.021,4,0.14803301136153363,0.24955495076809187,0.009235592715594976,0.018,7.996,5.955375253549698,54,88.0,74.0,61.0,61.0,0.0,0.0
206,10,AbfallCAGIALLO,2022-06-28,2022-06-28 06:45:39.902000,102808.1,718810.3,3.345,7.996,220.0,0.018,0,88.0,74.0,0.0,0.0,61.0,61.0,1656398757532.0,2022-06,2022,2022-06-28 06:50:00,46.06633741014225,8.974150972601462,6,0.01098511636962632,2022-06-28 06:45:39.902000+00:00,9.123000000000001,2022-06-28 06:45:18.468000+00:00,2022-06-28 06:45:45.489000+00:00,27.021,4,0.14803301136153363,0.24955495076809187,0.009235592715594976,0.018,7.996,5.955375253549698,54,88.0,74.0,61.0,61.0,0.0,0.0
207,10,AbfallCAGIALLO,2022-06-28,2022-06-28 06:45:45.489000,102808.1,718810.3,3.345,6.156,121.0,0.006,0,88.0,74.0,0.0,0.0,61.0,61.0,1656398757582.0,2022-06,2022,2022-06-28 06:50:00,46.06633741014225,8.974150972601462,6,0.004341265462945928,2022-06-28 06:45:45.489000+00:00,5.587000000000001,2022-06-28 06:45:18.468000+00:00,2022-06-28 06:45:45.489000+00:00,27.021,4,0.14803301136153363,0.24955495076809187,0.009235592715594976,0.018,7.996,5.955375253549698,54,88.0,74.0,61.0,61.0,0.0,0.0
208,11,AbfallCAGIALLO,2022-06-28,2022-06-28 06:49:01.881000,102808.1,718810.3,3.345,6.309,128.0,0.007,0,81.0,77.0,0.0,0.0,63.5,57.0,1656398976760.0,2022-06,2022,2022-06-28 06:50:00,46.06633741014225,8.974150972601462,6,0.004736593840533778,2022-06-28 06:49:01.881000+00:00,196.39200000000002,2022-06-28 06:49:01.881000+00:00,2022-06-28 06:49:47.084000+00:00,45.203,2,0.044244851005464235,0.16297466172610084,0.003605394812868633,0.025,8.73,7.444219066937121,218,81.0,77.0,63.5,57.0,0.0,0.0
209,11,AbfallCAGIALLO,2022-06-28,2022-06-28 06:49:47.084000,102808.1,718810.3,3.345,8.73,269.0,0.025,0,81.0,77.0,0.0,0.0,63.5,57.0,1656399000612.0,2022-06,2022,2022-06-28 06:50:00,46.06633741014225,8.974150972601462,6,0.015003992512568707,2022-06-28 06:49:47.084000+00:00,45.203,2022-06-28 06:49:01.881000+00:00,2022-06-28 06:49:47.084000+00:00,45.203,2,0.044244851005464235,0.16297466172610084,0.003605394812868633,0.025,8.73,7.444219066937121,218,81.0,77.0,63.5,57.0,0.0,0.0
665,101,BadiSCHUEPFHEIM,2021-06-20,2021-06-20 14:26:18.387000,200748.5,643987.7,3.518,6.324,139.0,0.007,0,100.0,100.0,7.0,5.1,61.5,60.0,1624199223541.0,2021-06,2021,2021-06-20 14:30:00,46.95636223165917,8.0165221059147,27,0.004776693562854669,2021-06-20 14:26:18.387000+00:00,25414555.725,2021-06-20 14:26:18.387000+00:00,2021-06-20 14:28:30.810000+00:00,132.423,27,0.20389207312929022,3.503955227111168,0.02646032205214478,0.119,12.893,15.888438133874242,1,100.0,99.92592592592592,61.5,60.0,6.933333333333333,5.051851851851851
666,101,BadiSCHUEPFHEIM,2021-06-20,2021-06-20 14:26:21.872000,200748.5,643987.7,3.518,6.324,139.0,0.007,0,100.0,100.0,7.0,5.1,61.5,60.0,1624199223600.0,2021-06,2021,2021-06-20 14:30:00,46.95636223165917,8.0165221059147,27,0.004776693562854669,2021-06-20 14:26:21.872000+00:00,3.4850000000000003,2021-06-20 14:26:18.387000+00:00,2021-06-20 14:28:30.810000+00:00,132.423,27,0.20389207312929022,3.503955227111168,0.02646032205214478,0.119,12.893,15.888438133874242,1,100.0,99.92592592592592,61.5,60.0,6.933333333333333,5.051851851851851
667,101,BadiSCHUEPFHEIM,2021-06-20,2021-06-20 14:26:29.811000,200748.5,643987.7,3.518,10.086,456.0,0.045,0,100.0,100.0,7.0,5.1,61.5,60.0,1624199223642.0,2021-06,2021,2021-06-20 14:30:00,46.95636223165917,8.0165221059147,27,0.025050049891141735,2021-06-20 14:26:29.811000+00:00,7.939,2021-06-20 14:26:18.387000+00:00,2021-06-20 14:28:30.810000+00:00,132.423,27,0.20389207312929022,3.503955227111168,0.02646032205214478,0.119,12.893,15.888438133874242,1,100.0,99.92592592592592,61.5,60.0,6.933333333333333,5.051851851851851
668,101,BadiSCHUEPFHEIM,2021-06-20,2021-06-20 14:26:39.704000,200748.5,643987.7,3.518,7.977,251.0,0.017,0,100.0,100.0,7.0,5.1,61.5,60.0,1624199223681.0,2021-06,2021,2021-06-20 14:30:00,46.95636223165917,8.0165221059147,27,0.010892732170732031,2021-06-20 14:26:39.704000+00:00,9.893,2021-06-20 14:26:18.387000+00:00,2021-06-20 14:28:30.810000+00:00,132.423,27,0.20389207312929022,3.503955227111168,0.02646032205214478,0.119,12.893,15.888438133874242,1,100.0,99.92592592592592,61.5,60.0,6.933333333333333,5.051851851851851
