,ID,x,y,Time,size,CustomTime,CustomLocation,SubmissionTime,OsVersion,AppVersion,Language,EventDate,maxCZC,CZCfilteredout,TDiff,SubvsEventbad,Multi1,Multi2,Multi3,blacklisted,xr,yr,Timer,FILTEREDOUT,days,months,years,size_text,size_mm,size_number,Lat,Lon
150216,0002a48a-d8d5-465c-933f-f275105cb600,499473,134331,2021-06-20 15:39:36.989000+00:00,11,FALSE,FALSE,2021-06-20 15:39:58.161000+00:00,,,fr,21171,52.0,0,0.352866665522257,0,0,0,0,0,499500,134500,2021-06-20 15:40:00+00:00,0,2021-06-20,2021-06,2021,< coffee bean,>0-5 [mm],2.5,46.35281555889683,6.132600019307196
150221,000E904A-DBA2-4D60-B071-E5A9D5A33D15,600947,202365,2021-06-20 08:32:59.629000+00:00,10,FALSE,FALSE,2021-06-20 08:33:27.794000+00:00,ios-14.6,210527.1436.9923,de,21171,,1,0.469416666030884,0,0,0,0,0,600500,202500,2021-06-20 08:35:00+00:00,1,2021-06-20,2021-06,2021,No hail,No hail,0.0,46.972355739856674,7.451076881009722
150243,0022f850-18d2-426e-8dca-1e8c95724b48,550927,168583,2021-06-20 16:13:35.081000+00:00,12,FALSE,FALSE,2021-06-20 16:13:53.861000+00:00,,,fr,21171,63.5,0,0.312999999523163,0,0,0,0,0,550500,168500,2021-06-20 16:15:00+00:00,0,2021-06-20,2021-06,2021,Coffee bean,5-8 [mm],6.5,46.6666650862473,6.7973983581863955
150245,002430d8-1e9f-4529-9e4a-29de8288d906,613166,187430,2021-06-20 13:59:04.178000+00:00,14,FALSE,FALSE,2021-06-20 13:59:19.824000+00:00,,,de,21171,63.5,0,0.260766665140788,0,0,0,0,0,613500,187500,2021-06-20 14:00:00+00:00,0,2021-06-20,2021-06,2021,5 CHF,32 [mm],32.0,46.83788349817786,7.611220828307231
150257,003d8a0b-56b9-4ad2-877a-693f3630345d,677657,254612,2021-06-20 16:30:19.255000+00:00,10,FALSE,FALSE,2021-06-20 16:30:41.711000+00:00,,,de,21171,38.0,0,0.374266664187113,0,0,0,0,0,677500,254500,2021-06-20 16:30:00+00:00,0,2021-06-20,2021-06,2021,No hail,No hail,0.0,47.43772287722663,8.468096516562294
150273,004e9b0b-0a64-40e1-93c9-c4c18b185854,682478,251892,2021-06-20 15:50:50.745000+00:00,12,FALSE,FALSE,2021-06-20 15:50:58.040000+00:00,,,de,21171,58.5,0,0.121583334604899,0,0,0,0,0,682500,251500,2021-06-20 15:50:00+00:00,0,2021-06-20,2021-06,2021,Coffee bean,5-8 [mm],6.5,47.412674791609874,8.531496700907246
150275,00511c7d-c33a-4f65-ab2a-f90f74de310d,652097,215075,2021-06-20 15:07:55.641000+00:00,14,TRUE,TRUE,2021-06-20 15:24:14.881000+00:00,,,de,21171,59.5,0,16.3206666668256,0,0,0,0,0,652500,215500,2021-06-20 15:10:00+00:00,0,2021-06-20,2021-06,2021,5 CHF,32 [mm],32.0,47.08463865790845,8.124697938391419
150295,00671E82-60AB-4B0A-94C6-A6A08148268D,697250,262766,2021-06-20 16:12:15.453000+00:00,11,FALSE,FALSE,2021-06-20 16:12:24.063000+00:00,ios-14.6,210527.1436.9923,de,21171,59.5,0,0.143499998251597,0,0,0,0,0,697500,262500,2021-06-20 16:10:00+00:00,0,2021-06-20,2021-06,2021,< coffee bean,>0-5 [mm],2.5,47.50844634433816,8.729570476595217
150320,00923FC1-4E41-42F1-B6BB-E2B0052B059F,605534,198062,2021-06-20 13:55:50.403000+00:00,11,FALSE,FALSE,2021-06-20 13:56:06.733000+00:00,ios-12.4,210527.1436.9923,de,21171,57.5,0,0.272166665395101,0,0,0,0,0,605500,198500,2021-06-20 13:55:00+00:00,0,2021-06-20,2021-06,2021,< coffee bean,>0-5 [mm],2.5,46.93362763610806,7.511304403090634
150330,009ddb17-9c49-446f-afb1-8d212d9411e1,698777,262597,2021-06-20 16:13:00.361000+00:00,12,FALSE,FALSE,2021-06-20 16:13:16.014000+00:00,,,de,21171,59.5,0,0.260883331298828,0,0,0,0,0,698500,262500,2021-06-20 16:15:00+00:00,0,2021-06-20,2021-06,2021,Coffee bean,5-8 [mm],6.5,47.506698865287284,8.749799438962544
150346,00CDC95E-6A99-4229-8131-BB7AF9319E1C,569022,157189,2021-06-20 13:20:22.435000+00:00,12,FALSE,FALSE,2021-06-20 13:20:32.830000+00:00,ios-14.6,210527.1436.9923,fr,21171,46.5,0,0.173249999682109,0,0,0,0,0,569500,157500,2021-06-20 13:20:00+00:00,0,2021-06-20,2021-06,2021,Coffee bean,5-8 [mm],6.5,46.56525902114631,7.0346101175044025
